match_id,round,venue,predicted_home_team,predicted_away_team,predicted_home_goals,predicted_away_goals,corners,yellow_cards,red_cards,match_winner,penalties,winner_name_meta
73,Round of 32,"SoFi Stadium, Los Angeles",South Korea,Switzerland,2,2,13,9,0,away,True,Switzerland
74,Round of 32,"NRG Stadium, Houston",Brazil,Netherlands,2,1,10,5,0,home,False,Brazil
75,Round of 32,"Gillette Stadium, Boston",Germany,Czech Republic,2,1,14,8,0,home,False,Germany
76,Round of 32,"Estadio BBVA, Monterrey",Japan,Morocco,1,2,9,6,0,away,False,Morocco
77,Round of 32,"AT&T Stadium, Dallas",Ecuador,Senegal,2,1,8,6,0,home,False,Ecuador
78,Round of 32,"MetLife Stadium, East Rutherford",France,Australia,2,1,9,5,0,home,False,France
79,Round of 32,"Estadio Azteca, Mexico City",Mexico,Ivory Coast,2,1,7,4,0,home,False,Mexico
80,Round of 32,"Mercedes-Benz Stadium, Atlanta",England,Norway,2,1,11,6,0,home,False,England
81,Round of 32,"Lumen Field, Seattle",Belgium,Austria,2,1,12,7,0,home,False,Belgium
82,Round of 32,"Levi's Stadium, Santa Clara",United States,Tunisia,2,1,7,4,0,home,False,United States
83,Round of 32,"BMO Field, Toronto",Portugal,Croatia,2,1,12,6,0,home,False,Portugal
84,Round of 32,"SoFi Stadium, Los Angeles",Spain,Algeria,2,1,10,5,0,home,False,Spain
85,Round of 32,"BC Place, Vancouver",Canada,Egypt,2,1,8,4,0,home,False,Canada
86,Round of 32,"AT&T Stadium, Dallas",Turkey,Iran,1,2,15,10,0,away,False,Iran
87,Round of 32,"Hard Rock Stadium, Miami",Argentina,Uruguay,2,1,7,4,0,home,False,Argentina
88,Round of 32,"GEHA Field at Arrowhead Stadium, Kansas City",Colombia,Panama,2,1,9,5,0,home,False,Colombia
89,Round of 16,"NRG Stadium, Houston",Switzerland,Germany,2,2,18,12,0,away,True,Germany
90,Round of 16,"Lincoln Financial Field, Philadelphia",Brazil,Ecuador,2,1,7,4,0,home,False,Brazil
91,Round of 16,"MetLife Stadium, East Rutherford",Morocco,France,2,1,8,4,0,home,False,Morocco
92,Round of 16,"Estadio Azteca, Mexico City",Mexico,England,1,2,11,7,0,away,False,England
93,Round of 16,"AT&T Stadium, Dallas",Portugal,Spain,1,2,14,9,0,away,False,Spain
94,Round of 16,"Lumen Field, Seattle",Belgium,United States,2,1,11,6,0,home,False,Belgium
95,Round of 16,"Mercedes-Benz Stadium, Atlanta",Iran,Colombia,1,2,11,7,0,away,False,Colombia
96,Round of 16,"BC Place, Vancouver",Canada,Argentina,1,2,10,7,0,away,False,Argentina
97,Quarter-final,"Gillette Stadium, Boston",Germany,Brazil,2,2,14,9,0,away,True,Brazil
98,Quarter-final,"SoFi Stadium, Los Angeles",Spain,Belgium,2,1,12,6,0,home,False,Spain
99,Quarter-final,"Hard Rock Stadium, Miami",Morocco,England,2,1,7,4,0,home,False,Morocco
100,Quarter-final,"GEHA Field at Arrowhead Stadium, Kansas City",Colombia,Argentina,1,2,7,4,0,away,False,Argentina
101,Semi-final,"AT&T Stadium, Dallas",Brazil,Spain,1,2,11,8,0,away,False,Spain
102,Semi-final,"Mercedes-Benz Stadium, Atlanta",Morocco,Argentina,2,2,7,5,0,home,True,Morocco
103,Third-place playoff,"Hard Rock Stadium, Miami",Brazil,Argentina,2,2,8,6,0,away,True,Argentina
104,Final,"MetLife Stadium, East Rutherford",Spain,Morocco,2,1,8,4,0,home,False,Spain
