match_id,round,venue,home_team,away_team,predicted_home_goals,predicted_away_goals,corners,yellow_cards,red_cards,penalties,winner_name_meta
1,Group A,"Estadio Azteca, Mexico City",Mexico,South Africa,2,1,7,4,0,False,Mexico
2,Group A,"Estadio Akron, Guadalajara",South Korea,Czech Republic,2,1,10,6,0,False,South Korea
3,Group B,"BMO Field, Toronto",Canada,Bosnia and Herzegovina,2,1,13,7,0,False,Canada
4,Group D,"SoFi Stadium, Los Angeles",United States,Paraguay,2,1,9,5,0,False,United States
5,Group D,"BC Place, Vancouver",Australia,Turkey,1,1,11,6,0,False,Draw
6,Group B,"Levi's Stadium, Santa Clara",Qatar,Switzerland,1,2,12,6,0,False,Switzerland
7,Group C,"MetLife Stadium, East Rutherford",Brazil,Morocco,1,1,6,3,0,False,Draw
8,Group C,"Gillette Stadium, Boston",Haiti,Scotland,1,2,14,8,0,False,Scotland
9,Group E,"NRG Stadium, Houston",Germany,Curaçao,3,0,14,8,0,False,Germany
10,Group F,"AT&T Stadium, Dallas",Netherlands,Japan,1,2,12,6,0,False,Japan
11,Group E,"Lincoln Financial Field, Philadelphia",Ivory Coast,Ecuador,1,1,7,4,0,False,Draw
12,Group F,"Estadio BBVA, Monterrey",Sweden,Tunisia,1,1,8,5,0,False,Draw
13,Group H,"Mercedes-Benz Stadium, Atlanta",Spain,Cape Verde,3,0,9,5,0,False,Spain
14,Group G,"Lumen Field, Seattle",Belgium,Egypt,2,1,9,5,0,False,Belgium
15,Group H,"Hard Rock Stadium, Miami",Saudi Arabia,Uruguay,1,2,7,4,0,False,Uruguay
16,Group G,"SoFi Stadium, Los Angeles",Iran,New Zealand,2,1,10,6,0,False,Iran
17,Group J,"Levi's Stadium, Santa Clara",Austria,Jordan,2,1,10,5,0,False,Austria
18,Group I,"MetLife Stadium, East Rutherford",France,Senegal,2,1,8,4,0,False,France
19,Group I,"Gillette Stadium, Boston",Iraq,Norway,1,2,9,5,0,False,Norway
20,Group J,"GEHA Field at Arrowhead Stadium, Kansas City",Argentina,Algeria,2,1,7,4,0,False,Argentina
21,Group K,"NRG Stadium, Houston",Portugal,DR Congo,2,0,8,4,0,False,Portugal
22,Group L,"AT&T Stadium, Dallas",England,Croatia,2,1,11,6,0,False,England
23,Group L,"BMO Field, Toronto",Ghana,Panama,1,2,10,5,0,False,Panama
24,Group K,"Estadio Azteca, Mexico City",Uzbekistan,Colombia,1,2,8,4,0,False,Colombia
25,Group A,"Mercedes-Benz Stadium, Atlanta",Czech Republic,South Africa,1,1,9,5,0,False,Draw
26,Group B,"SoFi Stadium, Los Angeles",Switzerland,Bosnia and Herzegovina,2,1,12,7,0,False,Switzerland
27,Group B,"BC Place, Vancouver",Canada,Qatar,2,1,12,6,0,False,Canada
28,Group A,"Estadio Akron, Guadalajara",Mexico,South Korea,1,1,8,4,0,False,Draw
29,Group D,"Levi's Stadium, Santa Clara",Turkey,Paraguay,2,1,9,5,0,False,Turkey
30,Group D,"Lumen Field, Seattle",United States,Australia,1,1,9,5,0,False,Draw
31,Group C,"Gillette Stadium, Boston",Scotland,Morocco,1,2,9,5,0,False,Morocco
32,Group C,"Lincoln Financial Field, Philadelphia",Brazil,Haiti,3,0,11,6,0,False,Brazil
33,Group F,"Estadio BBVA, Monterrey",Tunisia,Japan,1,2,8,4,0,False,Japan
34,Group F,"NRG Stadium, Houston",Netherlands,Sweden,2,1,13,7,0,False,Netherlands
35,Group E,"BMO Field, Toronto",Germany,Ivory Coast,2,1,11,6,0,False,Germany
36,Group E,"GEHA Field at Arrowhead Stadium, Kansas City",Ecuador,Curaçao,2,0,9,5,0,False,Ecuador
37,Group H,"Mercedes-Benz Stadium, Atlanta",Spain,Saudi Arabia,2,0,9,5,0,False,Spain
38,Group G,"SoFi Stadium, Los Angeles",Belgium,Iran,1,1,11,6,0,False,Draw
39,Group H,"Hard Rock Stadium, Miami",Uruguay,Cape Verde,2,1,6,4,0,False,Uruguay
40,Group G,"BC Place, Vancouver",New Zealand,Egypt,1,2,8,4,0,False,Egypt
41,Group J,"AT&T Stadium, Dallas",Argentina,Austria,2,1,8,5,0,False,Argentina
42,Group I,"Lincoln Financial Field, Philadelphia",France,Iraq,2,0,9,5,0,False,France
43,Group I,"MetLife Stadium, East Rutherford",Norway,Senegal,1,1,9,5,0,False,Draw
44,Group J,"Levi's Stadium, Santa Clara",Jordan,Algeria,1,2,9,5,0,False,Algeria
45,Group K,"NRG Stadium, Houston",Portugal,Uzbekistan,2,1,9,5,0,False,Portugal
46,Group L,"Gillette Stadium, Boston",England,Ghana,3,0,9,5,0,False,England
47,Group L,"BMO Field, Toronto",Panama,Croatia,1,2,12,6,0,False,Croatia
48,Group K,"Estadio Akron, Guadalajara",Colombia,DR Congo,2,1,6,3,0,False,Colombia
49,Group B,"BC Place, Vancouver",Switzerland,Canada,1,1,12,7,0,False,Draw
50,Group B,"Lumen Field, Seattle",Bosnia and Herzegovina,Qatar,1,1,12,6,0,False,Draw
51,Group C,"Hard Rock Stadium, Miami",Scotland,Brazil,1,2,10,5,0,False,Brazil
52,Group C,"Mercedes-Benz Stadium, Atlanta",Morocco,Haiti,3,0,10,5,0,False,Morocco
53,Group A,"Estadio Azteca, Mexico City",Czech Republic,Mexico,1,2,9,5,0,False,Mexico
54,Group A,"Estadio BBVA, Monterrey",South Africa,South Korea,1,2,7,4,0,False,South Korea
55,Group E,"Lincoln Financial Field, Philadelphia",Curaçao,Ivory Coast,1,2,9,5,0,False,Ivory Coast
56,Group E,"MetLife Stadium, East Rutherford",Ecuador,Germany,1,1,10,6,0,False,Draw
57,Group F,"AT&T Stadium, Dallas",Japan,Sweden,2,1,12,7,0,False,Japan
58,Group F,"GEHA Field at Arrowhead Stadium, Kansas City",Tunisia,Netherlands,1,2,9,5,0,False,Netherlands
59,Group D,"SoFi Stadium, Los Angeles",United States,Turkey,1,1,12,6,0,False,Draw
60,Group D,"Levi's Stadium, Santa Clara",Paraguay,Australia,1,1,8,5,0,False,Draw
61,Group I,"Gillette Stadium, Boston",Norway,France,1,2,11,6,0,False,France
62,Group I,"BMO Field, Toronto",Senegal,Iraq,2,1,7,4,0,False,Senegal
63,Group H,"NRG Stadium, Houston",Cape Verde,Saudi Arabia,1,1,7,4,0,False,Draw
64,Group H,"Estadio Akron, Guadalajara",Uruguay,Spain,1,2,9,5,0,False,Spain
65,Group G,"Lumen Field, Seattle",Egypt,Iran,1,1,7,4,0,False,Draw
66,Group G,"BC Place, Vancouver",New Zealand,Belgium,1,2,12,6,0,False,Belgium
67,Group L,"MetLife Stadium, East Rutherford",Panama,England,1,3,11,6,0,False,England
68,Group L,"Lincoln Financial Field, Philadelphia",Croatia,Ghana,2,1,9,5,0,False,Croatia
69,Group K,"Hard Rock Stadium, Miami",Colombia,Portugal,1,1,9,5,0,False,Draw
70,Group K,"Mercedes-Benz Stadium, Atlanta",DR Congo,Uzbekistan,1,1,7,4,0,False,Draw
71,Group J,"GEHA Field at Arrowhead Stadium, Kansas City",Algeria,Austria,2,1,10,6,0,False,Algeria
72,Group J,"AT&T Stadium, Dallas",Jordan,Argentina,0,3,8,4,0,False,Argentina
73,Round of 32,"SoFi Stadium, Los Angeles",South Korea,Switzerland,2,2,13,9,0,True,South Korea
74,Round of 32,"NRG Stadium, Houston",Brazil,Netherlands,2,1,10,5,0,False,Brazil
75,Round of 32,"Gillette Stadium, Boston",Germany,Australia,2,1,11,6,0,False,Germany
76,Round of 32,"Estadio BBVA, Monterrey",Japan,Morocco,1,2,9,6,0,False,Morocco
77,Round of 32,"AT&T Stadium, Dallas",Ecuador,Senegal,1,1,8,6,0,True,Ecuador
78,Round of 32,"MetLife Stadium, East Rutherford",France,Scotland,2,1,11,6,0,False,France
79,Round of 32,"Estadio Azteca, Mexico City",Mexico,Ivory Coast,2,1,9,6,0,False,Mexico
80,Round of 32,"Mercedes-Benz Stadium, Atlanta",England,Norway,2,1,11,6,0,False,England
81,Round of 32,"Lumen Field, Seattle",Belgium,South Africa,2,1,9,5,0,False,Belgium
82,Round of 32,"Levi's Stadium, Santa Clara",United States,Austria,2,2,13,9,0,True,United States
83,Round of 32,"BMO Field, Toronto",Colombia,Croatia,2,1,9,5,0,False,Colombia
84,Round of 32,"SoFi Stadium, Los Angeles",Spain,Algeria,2,1,10,5,0,False,Spain
85,Round of 32,"BC Place, Vancouver",Canada,Egypt,2,1,10,7,0,False,Canada
86,Round of 32,"AT&T Stadium, Dallas",Turkey,Iran,1,2,12,6,0,False,Iran
87,Round of 32,"Hard Rock Stadium, Miami",Argentina,Uruguay,2,1,7,4,0,False,Argentina
88,Round of 32,"GEHA Field at Arrowhead Stadium, Kansas City",Portugal,Panama,2,1,12,7,0,False,Portugal
89,Round of 16,"NRG Stadium, Houston",South Korea,Germany,1,2,12,6,0,False,Germany
90,Round of 16,"Lincoln Financial Field, Philadelphia",Brazil,Ecuador,2,1,7,4,0,False,Brazil
91,Round of 16,"MetLife Stadium, East Rutherford",Morocco,France,2,1,10,7,0,False,Morocco
92,Round of 16,"Estadio Azteca, Mexico City",Mexico,England,1,1,11,7,0,True,England
93,Round of 16,"AT&T Stadium, Dallas",Colombia,Spain,1,2,9,5,0,False,Spain
94,Round of 16,"Lumen Field, Seattle",Belgium,United States,2,1,11,6,0,False,Belgium
95,Round of 16,"Mercedes-Benz Stadium, Atlanta",Iran,Portugal,1,2,13,9,0,False,Portugal
96,Round of 16,"BC Place, Vancouver",Canada,Argentina,1,2,8,4,0,False,Argentina
97,Quarter-final,"Gillette Stadium, Boston",Germany,Brazil,1,2,11,6,0,False,Brazil
98,Quarter-final,"SoFi Stadium, Los Angeles",Spain,Belgium,2,1,12,6,0,False,Spain
99,Quarter-final,"Hard Rock Stadium, Miami",Morocco,England,2,1,9,6,0,False,Morocco
100,Quarter-final,"GEHA Field at Arrowhead Stadium, Kansas City",Portugal,Argentina,1,2,8,4,0,False,Argentina
101,Semi-final,"AT&T Stadium, Dallas",Brazil,Spain,1,2,9,5,0,False,Spain
